WKT,SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
"POINT (-83.800508006737 9.94045181408858)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 1 (H. AGUILAR 1),"1099165","521874",7.04,Capellades,Alvarado,Cartago,1,"306",-83.8005080067,9.94045181409
"POINT (-83.8012467660121 9.94038896060498)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 2 (H. AGUILAR 2),"1099158","521793",7.41,Capellades,Alvarado,Cartago,1,"306",-83.801246766,9.9403889606
"POINT (-83.8126726442873 9.91094622679223)",SISTEMA 7: PACAYAS BUENOS AIRES,NACIENTE MAINOR,"1095901","520542",24.98,Pacayas,Alvarado,Cartago,2,"306",-83.8126726443,9.91094622679
"POINT (-83.8106862146167 9.93998754848199)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE LA ISLA,"1099113","520758",25.7275,Pacayas,Alvarado,Cartago,2,"306",-83.8106862146,9.93998754848
"POINT (-83.8272838461071 9.90668629822853)",SISTEMA 4 PACAYAS LOS ÁNGELES,LOS ANGELES 1 (Jose Castro),"1095429","518940",8.029167,Pacayas,Alvarado,Cartago,1,"306",-83.8272838461,9.90668629823
"POINT (-83.808847497557 9.91819564180181)",SISTEMA 6 LOURDES VICENTE SERRANO,NACIENTE VICENTE SERRANO,"1096703","520961",27.104545,Pacayas,Alvarado,Cartago,2,"306",-83.8088474976,9.9181956418
"POINT (-83.7930464016611 9.92822271641011)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE ABRAHAM 1,"1097813","522693",5.198,Capellades,Alvarado,Cartago,1,"306",-83.7930464017,9.92822271641
"POINT (-83.8245065075379 9.91634157394634)",SISTEMA 10 PACAYAS LLANO GRANDE 3,NACIENTE ANIBAL BARQUERO,"1096497","519244",4.539,Pacayas,Alvarado,Cartago,1,"306",-83.8245065075,9.91634157395
"POINT (-83.8088406598133 9.92998621564841)",SISTEMA 1 PACAYAS CENTRO,NACIENTE BARBACOAS,"1098007","520961",13.86,Pacayas,Alvarado,Cartago,2,"306",-83.8088406598,9.92998621565
"POINT (-83.8132285256083 9.92773726830659)",SISTEMA 15 LOURDES SECTOR LOS BRENES,NACIENTE ZENÓN LEANDRO,"1097758","520480",21.172857,Pacayas,Alvarado,Cartago,2,"306",-83.8132285256,9.92773726831
"POINT (-83.7770088143192 9.92244373875862)",SISTEMA 3 CAPELLADES CALLEJÓN (LOURDES),NACIENTE CALLEJÓN 1,"1097175","524452",4.928182,Capellades,Alvarado,Cartago,1,"306",-83.7770088143,9.92244373876
